meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,variant,post_labor,run_id
0.3440412304457377,0.75,0.025,0.225,0.025,0.385,0.34,0.20549369417127006,0.45112158954067266,0.95,0.47,1,ubi_pure,0.95,106
0.3422551719742558,0.78,0.065,0.155,0.03,0.39,0.36,0.21109263989286314,0.44814450598615596,0.95,0.445,1,ubi_pure,0.95,107
0.3299620121983021,0.81,0.035,0.155,0.025,0.4,0.385,0.1925137703748227,0.4310286428619721,0.95,0.435,1,ubi_pure,0.95,108
0.3525850273641777,0.725,0.05,0.225,0.005,0.36,0.36,0.21829134713572398,0.4535966071704388,0.95,0.485,1,ubi_pure,0.95,109
0.3453711025956086,0.785,0.06,0.155,0.015,0.425,0.345,0.20444474415652394,0.4194288821755792,0.95,0.45,1,ubi_pure,0.95,110
0.3467046691962373,0.755,0.04,0.205,0.02,0.405,0.33,0.2146411216260321,0.45907566391621385,0.95,0.43,1,ubi_pure,0.95,111
0.32531908108593927,0.785,0.03,0.185,0.025,0.315,0.445,0.1823290324186577,0.3930406017485705,0.95,0.355,1,ubi_pure,0.95,112
0.35739279592574064,0.72,0.045,0.235,0.015,0.39,0.315,0.22069684744244633,0.4470772929796388,0.95,0.535,1,ubi_pure,0.95,113
0.34848763020953055,0.74,0.07,0.19,0.03,0.375,0.335,0.2150156544456178,0.4641121894149309,0.95,0.42,1,ubi_pure,0.95,114
0.35402237651866686,0.735,0.07,0.195,0.045,0.385,0.305,0.22725255461135394,0.4655932372478684,0.95,0.515,1,ubi_pure,0.95,115
0.3523232116096628,0.73,0.04,0.23,0.02,0.43,0.28,0.21651499319771766,0.4564445079593449,0.95,0.535,1,ubi_pure,0.95,116
0.32072159859181126,0.81,0.015,0.175,0.035,0.37,0.405,0.19080372815629232,0.4300114755000176,0.95,0.36,1,ubi_pure,0.95,117
0.3363211625237453,0.775,0.03,0.195,0.03,0.395,0.35,0.20375249030792125,0.44050762234764074,0.95,0.405,1,ubi_pure,0.95,118
0.3592529811810073,0.7,0.045,0.255,0.03,0.41,0.26,0.2245642576974224,0.46229974279873615,0.95,0.49,0,ubi_pure,0.95,119
0.3489588244418513,0.695,0.07,0.235,0.045,0.335,0.315,0.2140944651318316,0.4435635397469796,0.95,0.445,0,ubi_pure,0.95,120
0.34212130426782245,0.79,0.045,0.165,0.025,0.44,0.325,0.2079952090810525,0.4428249012680051,0.95,0.45,1,ubi_pure,0.95,121
0.3413869062473222,0.77,0.035,0.195,0.025,0.405,0.34,0.2129049304812229,0.44725507415800314,0.95,0.465,1,ubi_pure,0.95,122
0.34091914224585734,0.795,0.035,0.17,0.015,0.415,0.365,0.20524705006784089,0.43661231562851227,0.95,0.42,1,ubi_pure,0.95,123
0.35555221294599376,0.72,0.04,0.24,0.03,0.37,0.32,0.2191872763634949,0.4594627265519422,0.95,0.46,1,ubi_pure,0.95,124
0.3495479348045866,0.745,0.04,0.215,0.015,0.44,0.29,0.22014008441562297,0.47560248648896675,0.95,0.475,1,ubi_pure,0.95,125
0.3507496295180548,0.69,0.035,0.275,0.05,0.365,0.275,0.2129237408017028,0.4435060353455678,0.95,0.48,0,ubi_pure,0.95,126
0.3341526084707489,0.795,0.04,0.165,0.015,0.43,0.35,0.1959256005643529,0.43709360428046645,0.95,0.435,1,ubi_pure,0.95,127
0.35661234321377144,0.725,0.035,0.24,0.025,0.425,0.275,0.22152530524991051,0.4546817163336073,0.95,0.575,1,ubi_pure,0.95,128
