meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,sink_collapsed,ratio,economic_weight,virtual_weight,scenario,post_labor,run_id
0.4289464093040698,0.49,0.16,0.35,0.0,0.35,0.14,0.2634907871133744,0.4940232656709835,0.95,0,3:1,0.675,0.225,virtual_only,0.95,1
0.4420279597564044,0.36,0.155,0.485,0.0,0.23,0.13,0.267492957646534,0.48295970153773154,0.95,0,3:1,0.675,0.225,virtual_only,0.95,2
0.44532991315502307,0.41,0.16,0.43,0.005,0.315,0.09,0.27295931178793353,0.5011537660885907,0.95,0,3:1,0.675,0.225,virtual_only,0.95,3
0.43955302175634464,0.455,0.16,0.385,0.02,0.325,0.11,0.2677521585038916,0.4962019997809133,0.95,0,3:1,0.675,0.225,virtual_only,0.95,4
0.4604308265311643,0.39,0.235,0.375,0.005,0.305,0.08,0.29469256289852924,0.5195646162141785,0.95,0,3:1,0.675,0.225,virtual_only,0.95,5
0.4250780889124013,0.485,0.15,0.365,0.0,0.315,0.17,0.2563074532283751,0.4709097185935154,0.95,0,3:1,0.675,0.225,virtual_only,0.95,6
0.4466113193526624,0.385,0.165,0.45,0.0,0.29,0.095,0.2749242927977251,0.4925128180337395,0.95,0,3:1,0.675,0.225,virtual_only,0.95,7
0.4359838462727527,0.45,0.155,0.395,0.005,0.34,0.105,0.2671158922764787,0.4818101455451233,0.95,0,3:1,0.675,0.225,virtual_only,0.95,8
0.43306222860214966,0.47,0.16,0.37,0.015,0.335,0.12,0.2623553789651362,0.4848165383591042,0.95,0,3:1,0.675,0.225,virtual_only,0.95,9
0.4426797574914862,0.445,0.165,0.39,0.005,0.315,0.125,0.27034048292825474,0.4858436016114965,0.95,0,3:1,0.675,0.225,virtual_only,0.95,10
0.42936915025176775,0.435,0.14,0.425,0.005,0.285,0.145,0.25452873756325367,0.4593175824886701,0.95,0,3:1,0.675,0.225,virtual_only,0.95,11
0.4564165501147274,0.355,0.21,0.435,0.0,0.26,0.095,0.28842037369519247,0.5095003618268066,0.95,0,3:1,0.675,0.225,virtual_only,0.95,12
0.4321733422841275,0.475,0.14,0.385,0.005,0.365,0.105,0.27019584384146156,0.49582789342018524,0.95,0,3:1,0.675,0.225,virtual_only,0.95,13
0.4385279157620838,0.435,0.145,0.42,0.0,0.32,0.115,0.2656497113864181,0.4844666864082808,0.95,0,3:1,0.675,0.225,virtual_only,0.95,14
0.4414671258299784,0.435,0.22,0.345,0.01,0.34,0.085,0.26728941902403947,0.468238900369889,0.95,0,3:1,0.675,0.225,virtual_only,0.95,15
0.4331469398332998,0.45,0.165,0.385,0.005,0.305,0.14,0.26697901152997133,0.476912510017811,0.95,0,3:1,0.675,0.225,virtual_only,0.95,16
0.4440781410489913,0.45,0.18,0.37,0.005,0.33,0.115,0.2733638262790329,0.48596733559485883,0.95,0,3:1,0.675,0.225,virtual_only,0.95,17
0.4357750145070844,0.45,0.145,0.405,0.0,0.34,0.11,0.2667683542709866,0.48693894970429286,0.95,0,3:1,0.675,0.225,virtual_only,0.95,18
0.43137948587452823,0.5,0.155,0.345,0.005,0.4,0.095,0.2569003604624996,0.4608267320716861,0.95,0,3:1,0.675,0.225,virtual_only,0.95,19
0.4382387833737284,0.435,0.155,0.41,0.005,0.33,0.1,0.27014295854476494,0.49505804935147646,0.95,0,3:1,0.675,0.225,virtual_only,0.95,20
0.4333191130587729,0.42,0.185,0.395,0.015,0.265,0.14,0.2721456843097071,0.4980646162249876,0.95,0,3:1,0.675,0.225,virtual_only,0.95,21
0.43757602455514916,0.48,0.195,0.325,0.0,0.37,0.11,0.26724286604201164,0.4807862882754671,0.95,0,3:1,0.675,0.225,virtual_only,0.95,22
0.4412191125889416,0.43,0.175,0.395,0.0,0.3,0.13,0.26834049758828404,0.48313026945763793,0.95,0,3:1,0.675,0.225,virtual_only,0.95,23
0.4460940375913758,0.39,0.17,0.44,0.0,0.3,0.09,0.27184044023373927,0.4898814356323908,0.95,0,3:1,0.675,0.225,virtual_only,0.95,24
0.4441411694816441,0.405,0.15,0.445,0.02,0.295,0.09,0.27147933549297365,0.4843698373677047,0.95,0,3:1,0.675,0.225,virtual_only,0.95,25
0.42821816223422177,0.47,0.14,0.39,0.01,0.335,0.125,0.26107868939572687,0.46457483613051975,0.95,0,3:1,0.675,0.225,virtual_only,0.95,26
0.4221146119552657,0.515,0.115,0.37,0.0,0.355,0.16,0.25469065372125477,0.46116942982857706,0.95,0,3:1,0.675,0.225,virtual_only,0.95,27
0.43414283204976173,0.455,0.155,0.39,0.0,0.315,0.14,0.26130193281357045,0.484262906706469,0.95,0,3:1,0.675,0.225,virtual_only,0.95,28
0.45093836653623215,0.41,0.225,0.365,0.01,0.275,0.125,0.28519739498678587,0.5125600129723386,0.95,0,3:1,0.675,0.225,virtual_only,0.95,29
0.4176996498777227,0.545,0.105,0.35,0.0,0.445,0.1,0.25313746262655473,0.48812865524191035,0.95,0,3:1,0.675,0.225,virtual_only,0.95,30
0.4290513874277822,0.465,0.125,0.41,0.01,0.335,0.12,0.253638432366649,0.460618073481143,0.95,0,3:1,0.675,0.225,virtual_only,0.95,31
0.4450674084197793,0.43,0.155,0.415,0.0,0.325,0.105,0.27666480096415014,0.4714552180733543,0.95,0,3:1,0.675,0.225,virtual_only,0.95,32
0.4393145257178817,0.435,0.165,0.4,0.01,0.32,0.105,0.2645204912605368,0.4790322587120242,0.95,0,3:1,0.675,0.225,virtual_only,0.95,33
0.44539485476033613,0.39,0.145,0.465,0.01,0.29,0.09,0.2775976543289054,0.49245843078480206,0.95,0,3:1,0.675,0.225,virtual_only,0.95,34
0.4339059107654387,0.53,0.17,0.3,0.005,0.455,0.07,0.26496967764197493,0.4780587380477321,0.95,0,3:1,0.675,0.225,virtual_only,0.95,35
0.45461885354294906,0.41,0.18,0.41,0.0,0.335,0.075,0.28627302688112766,0.5068173463419611,0.95,0,3:1,0.675,0.225,virtual_only,0.95,36
0.43570618742039485,0.475,0.15,0.375,0.005,0.39,0.08,0.2751101548102187,0.5009360119066127,0.95,0,3:1,0.675,0.225,virtual_only,0.95,37
0.44724227729632515,0.405,0.19,0.405,0.015,0.3,0.09,0.2683423585457636,0.48468213793655224,0.95,0,3:1,0.675,0.225,virtual_only,0.95,38
0.4465091141563555,0.415,0.19,0.395,0.01,0.32,0.085,0.28073850299963116,0.4858020181418761,0.95,0,3:1,0.675,0.225,virtual_only,0.95,39
0.4566739980571704,0.39,0.215,0.395,0.0,0.31,0.08,0.2873936052330203,0.49850852907925486,0.95,0,3:1,0.675,0.225,virtual_only,0.95,40
0.4216333218620037,0.525,0.115,0.36,0.0,0.385,0.14,0.24542092926318304,0.4567998726127632,0.95,0,3:1,0.675,0.225,virtual_only,0.95,41
0.44922467954530704,0.41,0.2,0.39,0.0,0.305,0.105,0.28469438838779443,0.4928731038761071,0.95,0,3:1,0.675,0.225,virtual_only,0.95,42
0.44156918550547275,0.415,0.155,0.43,0.005,0.325,0.085,0.2737231467516887,0.48897677373890375,0.95,0,3:1,0.675,0.225,virtual_only,0.95,43
0.45028581601157797,0.41,0.18,0.41,0.0,0.34,0.07,0.2821105851459689,0.495473575495946,0.95,0,3:1,0.675,0.225,virtual_only,0.95,44
0.44874369419726634,0.39,0.195,0.415,0.005,0.265,0.12,0.27655024153431734,0.4936046723862916,0.95,0,3:1,0.675,0.225,virtual_only,0.95,45
0.43196694374985733,0.44,0.15,0.41,0.005,0.3,0.135,0.26355406498030304,0.46988889544863854,0.95,0,3:1,0.675,0.225,virtual_only,0.95,46
0.4208503738018314,0.49,0.105,0.405,0.0,0.38,0.11,0.24022426649300527,0.44860187412170743,0.95,0,3:1,0.675,0.225,virtual_only,0.95,47
0.4203220573016535,0.53,0.135,0.335,0.02,0.37,0.14,0.24810005682497718,0.45820348283842627,0.95,0,3:1,0.675,0.225,virtual_only,0.95,48
0.43484522075811555,0.445,0.14,0.415,0.015,0.32,0.11,0.265411304212379,0.491509461820301,0.95,0,3:1,0.675,0.225,virtual_only,0.95,49
0.5183817343060579,0.205,0.385,0.41,0.0,0.185,0.02,0.3719120496927125,0.5250532637589991,0.95,0,3:1,0.675,0.225,ubi_plus_virtual,0.95,0
0.5134285598168304,0.225,0.375,0.4,0.0,0.185,0.04,0.3695250758667204,0.5342012819548857,0.95,0,3:1,0.675,0.225,ubi_plus_virtual,0.95,1
