meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,scenario,post_labor,speed,run_id
0.5338889808099203,0.19,0.45,0.36,0.0,0.15,0.04,0.42690962468921184,0.5057341909416935,0.4999999999999992,0.715,0,ubi_only,0.5,gradual,35
0.5327292398217546,0.175,0.47,0.355,0.0,0.13,0.045,0.42291293243252576,0.5014173920371019,0.4999999999999992,0.77,0,ubi_only,0.5,gradual,36
0.5228237393603163,0.23,0.395,0.375,0.0,0.195,0.035,0.41926689079378393,0.49592051961835876,0.4999999999999992,0.75,0,ubi_only,0.5,gradual,37
0.5150815808492476,0.245,0.395,0.36,0.005,0.175,0.065,0.410253521121879,0.4884940126966387,0.4999999999999992,0.72,0,ubi_only,0.5,gradual,38
0.5317980813918988,0.23,0.45,0.32,0.0,0.155,0.075,0.4307047568750316,0.5083925505249808,0.4999999999999992,0.685,0,ubi_only,0.5,gradual,39
0.5343321127377904,0.205,0.44,0.355,0.005,0.17,0.03,0.4294206549313316,0.518140271856561,0.4999999999999992,0.71,0,ubi_only,0.5,gradual,40
0.5275265899980578,0.24,0.425,0.335,0.005,0.2,0.035,0.4401561838119123,0.5476396378244808,0.4999999999999992,0.69,0,ubi_only,0.5,gradual,41
0.5069768862589457,0.26,0.385,0.355,0.0,0.21,0.05,0.3998472556150624,0.4935079497931633,0.4999999999999992,0.705,0,ubi_only,0.5,gradual,42
0.5304154327962026,0.2,0.425,0.375,0.0,0.175,0.025,0.42932671528879807,0.5174030430045423,0.4999999999999992,0.74,0,ubi_only,0.5,gradual,43
0.5343233317539098,0.19,0.44,0.37,0.0,0.155,0.035,0.4318737251498635,0.5397300952491368,0.4999999999999992,0.71,0,ubi_only,0.5,gradual,44
0.5283145030053055,0.225,0.475,0.3,0.0,0.185,0.04,0.4227411304769867,0.5202331480106424,0.4999999999999992,0.735,0,ubi_only,0.5,gradual,45
0.5208725807563337,0.22,0.435,0.345,0.005,0.19,0.025,0.40773623876818726,0.4896759056278337,0.4999999999999992,0.785,0,ubi_only,0.5,gradual,46
0.5266427914236905,0.24,0.45,0.31,0.0,0.2,0.04,0.4190028138759101,0.5057985531926349,0.4999999999999992,0.72,0,ubi_only,0.5,gradual,47
0.5361760533233335,0.2,0.485,0.315,0.0,0.15,0.05,0.435731990686371,0.5310716552530047,0.4999999999999992,0.69,0,ubi_only,0.5,gradual,48
0.5350188339099605,0.195,0.435,0.37,0.0,0.145,0.05,0.4271227507993782,0.5125377480175708,0.4999999999999992,0.69,0,ubi_only,0.5,gradual,49
0.5210959377835762,0.235,0.435,0.33,0.0,0.195,0.04,0.4110689038148462,0.4910125581374476,0.4999999999999992,0.75,0,ubi_only,0.5,gradual,50
0.5310477448325459,0.205,0.435,0.36,0.0,0.165,0.04,0.4283257382890038,0.5187973753379044,0.4999999999999992,0.72,0,ubi_only,0.5,gradual,51
0.5361112694601237,0.21,0.455,0.335,0.0,0.17,0.04,0.4371121037338759,0.5260934372319418,0.4999999999999992,0.7,0,ubi_only,0.5,gradual,52
0.5168736335114379,0.26,0.41,0.33,0.005,0.21,0.045,0.406958092560088,0.4968926077533728,0.4999999999999992,0.73,0,ubi_only,0.5,gradual,53
0.5290279202797001,0.2,0.445,0.355,0.0,0.19,0.01,0.42922842233915587,0.5315110939711619,0.4999999999999992,0.755,0,ubi_only,0.5,gradual,54
0.5218295475487406,0.27,0.425,0.305,0.0,0.215,0.055,0.4161187923089426,0.4967679176062662,0.4999999999999992,0.7,0,ubi_only,0.5,gradual,55
0.5198453797281806,0.245,0.43,0.325,0.0,0.17,0.075,0.4214784135405873,0.5173924054937927,0.4999999999999992,0.695,0,ubi_only,0.5,gradual,56
0.512034274668899,0.23,0.385,0.385,0.0,0.185,0.045,0.4067982709276059,0.4840625362695549,0.4999999999999992,0.73,0,ubi_only,0.5,gradual,57
0.513455087286854,0.255,0.38,0.365,0.0,0.2,0.055,0.4099067806182481,0.5038969996392327,0.4999999999999992,0.685,0,ubi_only,0.5,gradual,58
0.5449547071044065,0.205,0.52,0.275,0.0,0.17,0.035,0.44181591900548184,0.5275118845830842,0.4999999999999992,0.65,0,ubi_only,0.5,gradual,59
0.5247691763265488,0.175,0.395,0.43,0.0,0.14,0.035,0.42492874742812176,0.5287752063123682,0.4999999999999992,0.735,0,ubi_only,0.5,gradual,60
0.5070319099086578,0.27,0.365,0.365,0.01,0.215,0.045,0.39271924373947487,0.48209491458068016,0.4999999999999992,0.71,0,ubi_only,0.5,gradual,61
0.532160234656918,0.145,0.455,0.4,0.005,0.11,0.03,0.42766731168037275,0.5127805144393282,0.4999999999999992,0.775,0,ubi_only,0.5,gradual,62
0.5250396836440305,0.225,0.45,0.325,0.0,0.19,0.035,0.4247384636347533,0.5224730148354869,0.4999999999999992,0.74,0,ubi_only,0.5,gradual,63
0.511096708930473,0.245,0.385,0.37,0.005,0.18,0.06,0.4070566523132905,0.4865723101533611,0.4999999999999992,0.76,0,ubi_only,0.5,gradual,64
0.5193175025903435,0.23,0.4,0.37,0.0,0.21,0.02,0.4197632644898913,0.5084168285469505,0.4999999999999992,0.755,0,ubi_only,0.5,gradual,65
0.5148690321902512,0.29,0.41,0.3,0.0,0.24,0.05,0.4093263806515212,0.5017359814422199,0.4999999999999992,0.695,0,ubi_only,0.5,gradual,66
