horizon,scenario,post_labor,run_id,sink_index,meaning_index
120,ubi_only,0.5,48,0.165,0.5439312947110598
160,ubi_only,0.5,48,0.185,0.5442157794766075
240,ubi_only,0.5,48,0.18,0.5400092297494808
80,ubi_only,0.5,49,0.16,0.5551581142957918
120,ubi_only,0.5,49,0.13,0.5439170894821692
160,ubi_only,0.5,49,0.165,0.5443508729131673
240,ubi_only,0.5,49,0.17,0.5450362859098332
80,full_bundle,0.5,0,0.035,0.6220928080761522
120,full_bundle,0.5,0,0.035,0.6333917462276563
160,full_bundle,0.5,0,0.035,0.6292631117041471
240,full_bundle,0.5,0,0.03,0.6315520314145072
80,full_bundle,0.5,1,0.06,0.6261583172103272
120,full_bundle,0.5,1,0.015,0.6514889896776915
160,full_bundle,0.5,1,0.015,0.6239703033058711
240,full_bundle,0.5,1,0.035,0.6252106070347706
80,full_bundle,0.5,2,0.02,0.6307563982592241
120,full_bundle,0.5,2,0.04,0.6336278089960654
160,full_bundle,0.5,2,0.03,0.6373613350241031
240,full_bundle,0.5,2,0.045,0.6254415807646538
80,full_bundle,0.5,3,0.045,0.6272883233733474
120,full_bundle,0.5,3,0.035,0.6365026248013406
160,full_bundle,0.5,3,0.055,0.627052630069255
240,full_bundle,0.5,3,0.015,0.6374853345567434
80,full_bundle,0.5,4,0.045,0.6267058289207008
120,full_bundle,0.5,4,0.075,0.6201263613555623
160,full_bundle,0.5,4,0.04,0.6234860466041581
240,full_bundle,0.5,4,0.025,0.6156627009544288
80,full_bundle,0.5,5,0.05,0.642316623521547
120,full_bundle,0.5,5,0.02,0.6328613179423845
160,full_bundle,0.5,5,0.055,0.6262940854536826
240,full_bundle,0.5,5,0.045,0.6283387277409007
80,full_bundle,0.5,6,0.06,0.6253616406156008
120,full_bundle,0.5,6,0.055,0.6323898267772126
160,full_bundle,0.5,6,0.025,0.6235739730025575
240,full_bundle,0.5,6,0.03,0.6288343256727211
80,full_bundle,0.5,7,0.015,0.6363502849755198
120,full_bundle,0.5,7,0.03,0.6268257521825211
160,full_bundle,0.5,7,0.04,0.6287962956921018
240,full_bundle,0.5,7,0.035,0.6389213909931926
80,full_bundle,0.5,8,0.045,0.624553822256739
120,full_bundle,0.5,8,0.045,0.6253836227055409
160,full_bundle,0.5,8,0.045,0.626813215451977
240,full_bundle,0.5,8,0.04,0.6268858386283838
80,full_bundle,0.5,9,0.045,0.638292747620766
120,full_bundle,0.5,9,0.05,0.6196204164706629
160,full_bundle,0.5,9,0.04,0.6397783860289892
240,full_bundle,0.5,9,0.035,0.6169183863154936
80,full_bundle,0.5,10,0.04,0.6217578974601962
120,full_bundle,0.5,10,0.04,0.6261596153324416
160,full_bundle,0.5,10,0.03,0.6370773534427328
240,full_bundle,0.5,10,0.02,0.632577732611947
80,full_bundle,0.5,11,0.045,0.6269880332326634
120,full_bundle,0.5,11,0.05,0.6306729359852943
160,full_bundle,0.5,11,0.025,0.6458480894440461
240,full_bundle,0.5,11,0.03,0.6232345500502937
80,full_bundle,0.5,12,0.06,0.6196913554430297
120,full_bundle,0.5,12,0.03,0.6175021489690644
160,full_bundle,0.5,12,0.05,0.6170117685596108
240,full_bundle,0.5,12,0.015,0.6466064507173129
80,full_bundle,0.5,13,0.03,0.645383411451266
120,full_bundle,0.5,13,0.035,0.6352710406770676
160,full_bundle,0.5,13,0.045,0.6270648175457332
240,full_bundle,0.5,13,0.055,0.6170470496899739
80,full_bundle,0.5,14,0.035,0.6292986596521258
120,full_bundle,0.5,14,0.055,0.6269794145705141
160,full_bundle,0.5,14,0.05,0.6254768844460856
240,full_bundle,0.5,14,0.035,0.6304741027314922
80,full_bundle,0.5,15,0.03,0.6339124522751708
120,full_bundle,0.5,15,0.045,0.6221353235142983
160,full_bundle,0.5,15,0.05,0.6147150923746696
240,full_bundle,0.5,15,0.03,0.6366136803593234
80,full_bundle,0.5,16,0.045,0.6303016704197155
120,full_bundle,0.5,16,0.02,0.6342551811265871
160,full_bundle,0.5,16,0.03,0.6233718994154909
240,full_bundle,0.5,16,0.03,0.6292721635488718
80,full_bundle,0.5,17,0.045,0.621053670517684
120,full_bundle,0.5,17,0.045,0.6376298182453884
160,full_bundle,0.5,17,0.07,0.6125222568972685
240,full_bundle,0.5,17,0.035,0.6287232280650865
80,full_bundle,0.5,18,0.055,0.6306083539900942
120,full_bundle,0.5,18,0.045,0.6243458210004733
160,full_bundle,0.5,18,0.035,0.6254326647139394
240,full_bundle,0.5,18,0.065,0.613190078283169
80,full_bundle,0.5,19,0.03,0.6334485850465095
120,full_bundle,0.5,19,0.045,0.6402800804135316
