UserId,Reputation,log_rep,PreAnsCount,log_pre_ans,tenure_years,AnsCount,z_comp,z_stat,z_rel,dominant_type,type_margin,active_months,post_engage,exit_K3,dur_K3,exit_K6,dur_K6,exit_K9,dur_K9,outcome3
727900,477,6.169610732491456,16,2.833213344056216,11.594798083504449,16,0.4993952159771999,-0.3844155002755165,0.1996939419637924,competence,0.2997012740134075,6.307490144546649,0,1,6.307490144546649,0,11.990801576872535,0,11.990801576872535,active
731842,202,5.313205979041787,6,1.9459101490553132,11.589322381930184,6,0.24616211499808333,0.22344303644575528,-0.3530040030463288,competence,0.022719078552328048,0.0,0,1,0.0,1,0.0,1,0.0,exit
741676,324,5.783825182329737,11,2.4849066497880004,11.570157426420261,11,-0.30634794231257667,-0.40809911239108887,-0.10755752752771625,relatedness,0.19879041478486043,0.0,0,1,0.0,1,0.0,1,0.0,exit
757773,84,4.442651256490317,5,1.791759469228055,11.540041067761807,5,0.6513350765646697,-1.165949690995302,-0.22594935689551757,competence,0.8772844334601873,10.64388961892247,1,0,11.990801576872535,0,11.990801576872535,0,11.990801576872535,active
764131,495,6.206575926724928,7,2.0794415416798357,11.529089664613279,7,0.535569057985865,-0.5704956649491345,-0.2622506843671779,competence,0.7978197423530429,0.0,0,1,0.0,1,0.0,1,0.0,exit
776005,384,5.953243334287785,5,1.791759469228055,11.50444900752909,5,-1.7797026928348494,0.5013232492069071,-0.3530040030463288,status,0.8543272522532359,0.0,1,1,0.0,1,0.0,1,0.0,migration
776884,439,6.0867747269123065,9,2.302585092994046,11.50444900752909,9,-0.4291275048560995,-0.23968787270126374,-0.10595330219752921,relatedness,0.13373457050373452,5.45335085413929,38,1,5.45335085413929,1,5.45335085413929,0,11.990801576872535,migration
783470,376,5.932245187448011,6,1.9459101490553132,11.493497604380561,6,-1.7797026928348494,1.6128357638868125,-0.24712513125398616,status,1.8599608951407987,10.183968462549277,2,0,11.990801576872535,0,11.990801576872535,0,11.990801576872535,active
794071,485,6.186208623900494,5,1.791759469228055,11.471594798083505,5,0.6513350765646697,-1.165949690995302,-0.19418569535781482,competence,0.8455207719224845,0.0,5,1,0.0,1,0.0,1,0.0,migration
796343,391,5.971261839790462,9,2.302585092994046,12.843258042436688,9,0.021064224470150533,-1.165949690995302,-0.1765392167257577,competence,0.19760344119590822,0.0,0,1,0.0,1,0.0,1,0.0,exit
