speed,scenario,step,steps_after_target,run_id,sink_index,meaning_index,post_labor_current
rapid,full_bundle,15,10,1,0.245,0.5080441768662562,0.95
rapid,full_bundle,25,20,1,0.2,0.5019786478651482,0.95
rapid,full_bundle,45,40,1,0.295,0.4886695759275979,0.95
rapid,full_bundle,15,10,2,0.265,0.4911659748518408,0.95
rapid,full_bundle,25,20,2,0.21,0.502441213431959,0.95
rapid,full_bundle,45,40,2,0.29,0.4877474605533399,0.95
rapid,full_bundle,15,10,3,0.25,0.4981838388747827,0.95
rapid,full_bundle,25,20,3,0.26,0.4869286178466234,0.95
rapid,full_bundle,45,40,3,0.235,0.4895836826562575,0.95
rapid,full_bundle,15,10,4,0.22,0.5070245437426899,0.95
rapid,full_bundle,25,20,4,0.205,0.49500304632649156,0.95
rapid,full_bundle,45,40,4,0.28,0.4891742465774909,0.95
rapid,full_bundle,15,10,5,0.25,0.5060583822990767,0.95
rapid,full_bundle,25,20,5,0.24,0.5022732959328587,0.95
rapid,full_bundle,45,40,5,0.36,0.46952117928537407,0.95
rapid,full_bundle,15,10,6,0.235,0.4934666479927556,0.95
rapid,full_bundle,25,20,6,0.3,0.48369629865817854,0.95
rapid,full_bundle,45,40,6,0.365,0.46667024596911005,0.95
rapid,full_bundle,15,10,7,0.225,0.502466626864702,0.95
rapid,full_bundle,25,20,7,0.315,0.48250089100979066,0.95
rapid,full_bundle,45,40,7,0.335,0.47219440203998475,0.95
rapid,full_bundle,15,10,8,0.17,0.5083593769063418,0.95
rapid,full_bundle,25,20,8,0.225,0.4979016627602097,0.95
rapid,full_bundle,45,40,8,0.345,0.4666388866328975,0.95
rapid,full_bundle,15,10,9,0.285,0.4912595580769292,0.95
rapid,full_bundle,25,20,9,0.29,0.4828687078811436,0.95
rapid,full_bundle,45,40,9,0.295,0.47393894407937237,0.95
rapid,full_bundle,15,10,10,0.18,0.5080206898545826,0.95
rapid,full_bundle,25,20,10,0.24,0.49818144897453204,0.95
rapid,full_bundle,45,40,10,0.36,0.4674242355751595,0.95
rapid,full_bundle,15,10,11,0.235,0.5056285144444169,0.95
rapid,full_bundle,25,20,11,0.3,0.4876954460868636,0.95
rapid,full_bundle,45,40,11,0.3,0.47812939856967546,0.95
rapid,full_bundle,15,10,12,0.215,0.5113623317345124,0.95
rapid,full_bundle,25,20,12,0.255,0.4961403136408658,0.95
rapid,full_bundle,45,40,12,0.275,0.48488401037756285,0.95
rapid,full_bundle,15,10,13,0.255,0.4995280566199483,0.95
rapid,full_bundle,25,20,13,0.26,0.4929805391019191,0.95
rapid,full_bundle,45,40,13,0.3,0.4946579369305411,0.95
rapid,full_bundle,15,10,14,0.235,0.5002665754871153,0.95
rapid,full_bundle,25,20,14,0.25,0.49898321161883885,0.95
rapid,full_bundle,45,40,14,0.325,0.47048895630937004,0.95
rapid,full_bundle,15,10,15,0.245,0.49869310447625087,0.95
rapid,full_bundle,25,20,15,0.29,0.4876171379418217,0.95
rapid,full_bundle,45,40,15,0.235,0.49612280923072205,0.95
rapid,full_bundle,15,10,16,0.22,0.5084472012510998,0.95
rapid,full_bundle,25,20,16,0.25,0.5015597243439053,0.95
rapid,full_bundle,45,40,16,0.265,0.4922789497638803,0.95
rapid,full_bundle,15,10,17,0.25,0.4967606981491771,0.95
rapid,full_bundle,25,20,17,0.235,0.4949539718618475,0.95
rapid,full_bundle,45,40,17,0.315,0.4697878671111975,0.95
rapid,full_bundle,15,10,18,0.255,0.496617997265488,0.95
rapid,full_bundle,25,20,18,0.285,0.4955486659761575,0.95
rapid,full_bundle,45,40,18,0.3,0.4820466857342048,0.95
rapid,full_bundle,15,10,19,0.26,0.48769169049764544,0.95
rapid,full_bundle,25,20,19,0.325,0.4664643361961329,0.95
rapid,full_bundle,45,40,19,0.27,0.48014478856969717,0.95
rapid,full_bundle,15,10,20,0.235,0.4971196726696671,0.95
rapid,full_bundle,25,20,20,0.235,0.5082501829602168,0.95
rapid,full_bundle,45,40,20,0.275,0.4883072333128722,0.95
rapid,full_bundle,15,10,21,0.235,0.5062533699522437,0.95
rapid,full_bundle,25,20,21,0.22,0.49776193489185144,0.95
rapid,full_bundle,45,40,21,0.31,0.47865516385627416,0.95
rapid,full_bundle,15,10,22,0.195,0.5128313748788076,0.95
rapid,full_bundle,25,20,22,0.255,0.4998499057472815,0.95
rapid,full_bundle,45,40,22,0.26,0.4831686979388965,0.95
rapid,full_bundle,15,10,23,0.265,0.49761459643369577,0.95
rapid,full_bundle,25,20,23,0.245,0.4973325742038886,0.95
rapid,full_bundle,45,40,23,0.28,0.48883475335170673,0.95
rapid,full_bundle,15,10,24,0.225,0.4955224597341076,0.95
rapid,full_bundle,25,20,24,0.25,0.49386177911972257,0.95
rapid,full_bundle,45,40,24,0.29,0.48120314846150164,0.95
rapid,full_bundle,15,10,25,0.265,0.493954352635279,0.95
rapid,full_bundle,25,20,25,0.26,0.4893635433625117,0.95
rapid,full_bundle,45,40,25,0.35,0.47456757241668074,0.95
rapid,full_bundle,15,10,26,0.22,0.5092856702297346,0.95
rapid,full_bundle,25,20,26,0.265,0.49774446090882757,0.95
rapid,full_bundle,45,40,26,0.35,0.46349416641472546,0.95
rapid,full_bundle,15,10,27,0.31,0.47961080018482205,0.95
rapid,full_bundle,25,20,27,0.31,0.4848568448375224,0.95
rapid,full_bundle,45,40,27,0.295,0.4839404779210146,0.95
rapid,full_bundle,15,10,28,0.225,0.49722936639428594,0.95
rapid,full_bundle,25,20,28,0.265,0.4972427442221591,0.95
rapid,full_bundle,45,40,28,0.3,0.4786178204805033,0.95
rapid,full_bundle,15,10,29,0.28,0.4867253151538713,0.95
rapid,full_bundle,25,20,29,0.275,0.48623488933107234,0.95
rapid,full_bundle,45,40,29,0.345,0.47312799496022706,0.95
rapid,full_bundle,15,10,30,0.225,0.5030638080513685,0.95
rapid,full_bundle,25,20,30,0.255,0.49196628663441755,0.95
rapid,full_bundle,45,40,30,0.325,0.4757188375592405,0.95
rapid,full_bundle,15,10,31,0.265,0.5009389125472907,0.95
rapid,full_bundle,25,20,31,0.29,0.4924798236102583,0.95
rapid,full_bundle,45,40,31,0.235,0.48784095314967746,0.95
rapid,full_bundle,15,10,32,0.24,0.5037767789208697,0.95
rapid,full_bundle,25,20,32,0.2,0.5023354448559413,0.95
rapid,full_bundle,45,40,32,0.3,0.4802361819901396,0.95
rapid,full_bundle,15,10,33,0.32,0.4876623900424799,0.95
rapid,full_bundle,25,20,33,0.305,0.4715012913183438,0.95
rapid,full_bundle,45,40,33,0.34,0.46973877275248144,0.95
rapid,full_bundle,15,10,34,0.185,0.5171867805252082,0.95
rapid,full_bundle,25,20,34,0.205,0.5104696718845316,0.95
rapid,full_bundle,45,40,34,0.325,0.47846627938777,0.95
rapid,full_bundle,15,10,35,0.23,0.4971841545693806,0.95
rapid,full_bundle,25,20,35,0.25,0.49589699754553235,0.95
rapid,full_bundle,45,40,35,0.31,0.48802122664771663,0.95
rapid,full_bundle,15,10,36,0.285,0.4876646985551784,0.95
rapid,full_bundle,25,20,36,0.325,0.4748232077579984,0.95
rapid,full_bundle,45,40,36,0.29,0.47915174870769767,0.95
rapid,full_bundle,15,10,37,0.21,0.504330723698819,0.95
rapid,full_bundle,25,20,37,0.29,0.48294039245960524,0.95
rapid,full_bundle,45,40,37,0.325,0.4648675989985881,0.95
rapid,full_bundle,15,10,38,0.28,0.4827879808560839,0.95
rapid,full_bundle,25,20,38,0.3,0.4785649751084985,0.95
rapid,full_bundle,45,40,38,0.28,0.4765524815636638,0.95
rapid,full_bundle,15,10,39,0.25,0.4953039145888457,0.95
rapid,full_bundle,25,20,39,0.295,0.485139193234883,0.95
rapid,full_bundle,45,40,39,0.35,0.4718104609208995,0.95
rapid,full_bundle,15,10,40,0.24,0.4972523757648566,0.95
rapid,full_bundle,25,20,40,0.29,0.47791693739554586,0.95
rapid,full_bundle,45,40,40,0.28,0.49052005275749594,0.95
rapid,full_bundle,15,10,41,0.23,0.5042320647422135,0.95
rapid,full_bundle,25,20,41,0.275,0.49709964210150537,0.95
rapid,full_bundle,45,40,41,0.285,0.4907280178787458,0.95
rapid,full_bundle,15,10,42,0.185,0.5091234278541305,0.95
rapid,full_bundle,25,20,42,0.29,0.4926314221018329,0.95
